fold name	freq	top1	top5	top10	top15	top20
g.65	1	0.0	0.0	0.0	0.0	0.0
g.64	2	0.0	0.0	0.0	0.0	0.0
g.67	2	0.0	0.0	0.0	0.0	0.0
g.66	6	0.0	0.0	0.0	0.0	0.0
g.69	8	0.125	0.5	1.0	1.0	1.0
g.68	21	0.0	0.0952380952381	0.142857142857	0.333333333333	0.52380952381
d.246	2	0.0	0.0	0.0	0.5	0.5
d.253	1	0.0	0.0	0.0	0.0	0.0
a.231	2	0.0	0.0	0.0	0.0	0.5
a.230	1	0.0	0.0	0.0	0.0	0.0
a.233	1	0.0	0.0	0.0	0.0	0.0
a.232	1	0.0	1.0	1.0	1.0	1.0
a.235	1	0.0	0.0	1.0	1.0	1.0
a.234	1	0.0	0.0	0.0	0.0	0.0
a.237	3	0.333333333333	0.666666666667	0.666666666667	1.0	1.0
a.236	1	0.0	1.0	1.0	1.0	1.0
a.239	1	0.0	1.0	1.0	1.0	1.0
a.238	9	0.444444444444	0.777777777778	0.888888888889	0.888888888889	0.888888888889
b.111	2	0.5	0.5	1.0	1.0	1.0
e.56	1	0.0	0.0	0.0	0.0	0.0
d.39	3	1.0	1.0	1.0	1.0	1.0
d.38	58	0.362068965517	0.620689655172	0.793103448276	0.844827586207	0.862068965517
a.98	2	0.5	0.5	0.5	0.5	0.5
a.99	5	0.6	0.6	0.8	1.0	1.0
a.96	12	0.666666666667	0.833333333333	0.833333333333	0.833333333333	0.833333333333
d.32	46	0.260869565217	0.521739130435	0.695652173913	0.804347826087	0.869565217391
d.31	5	0.0	0.2	0.4	0.4	0.6
d.30	1	0.0	0.0	0.0	0.0	0.0
a.92	1	0.0	0.0	0.0	0.0	0.0
a.93	27	0.333333333333	0.740740740741	0.814814814815	0.814814814815	0.851851851852
a.90	1	1.0	1.0	1.0	1.0	1.0
a.91	10	0.3	0.7	0.8	0.8	0.8
e.55	1	1.0	1.0	1.0	1.0	1.0
a.175	1	0.0	0.0	0.0	1.0	1.0
e.52	6	0.833333333333	1.0	1.0	1.0	1.0
a.17	2	0.0	0.5	0.5	0.5	0.5
a.74	27	0.407407407407	0.592592592593	0.740740740741	0.777777777778	0.851851851852
a.75	4	0.5	0.5	0.5	0.5	0.75
